EURING,Scientific_Name,English_ioc,Clements_Common_Name,English_birdnet,French_ioc,French_birdnet,Spanish_ioc,Spanish_birdnet,Dutch_ioc,Dutch_birdnet,Norwegian_ioc,Norwegian_birdnet
9810,Riparia riparia,Sand Martin,Bank Swallow,Sand Martin,Hirondelle de rivage,NA,Avión zapador,NA,Oeverzwaluw,NA,sandsvale,NA
9920,Hirundo rustica,Barn Swallow,Barn Swallow,Barn Swallow,Hirondelle rustique,NA,Golondrina común,NA,Boerenzwaluw,NA,låvesvale,NA
10010,Delichon urbicum,Western House Martin,Western House-Martin,Western House Martin,Hirondelle de fenêtre,NA,Avión común occidental,Avión Común,Huiszwaluw,NA,taksvale,NA
10020,Anthus richardi,Richard's Pipit,Richard's Pipit,Richard's Pipit,Pipit de Richard,NA,Bisbita de Richard,NA,Grote Pieper,NA,tartarpiplerke,NA
10050,Anthus campestris,Tawny Pipit,Tawny Pipit,Tawny Pipit,Pipit rousseline,NA,Bisbita campestre,NA,Duinpieper,NA,markpiplerke,NA
10090,Anthus trivialis,Tree Pipit,Tree Pipit,Tree Pipit,Pipit des arbres,NA,Bisbita arbóreo,NA,Boompieper,NA,trepiplerke,NA
10110,Anthus pratensis,Meadow Pipit,Meadow Pipit,Meadow Pipit,Pipit farlouse,NA,Bisbita pratense,NA,Graspieper,NA,heipiplerke,NA
10120,Anthus cervinus,Red-throated Pipit,Red-throated Pipit,Red-throated Pipit,Pipit à gorge rousse,NA,Bisbita gorjirrojo,NA,Roodkeelpieper,NA,lappiplerke,NA
10141,Anthus spinoletta,Water Pipit,Water Pipit,Water Pipit,Pipit spioncelle,NA,Bisbita alpino,NA,Waterpieper,NA,vannpiplerke,NA
10145,Anthus petrosus,European Rock Pipit,Rock Pipit,Rock Pipit,Pipit maritime,NA,Bisbita costero,NA,Oeverpieper,NA,skjærpiplerke,NA
10170,Motacilla flava,Western Yellow Wagtail,Western Yellow Wagtail,Western Yellow Wagtail,Bergeronnette printanière,NA,Lavandera boyera,NA,Gele Kwikstaart,NA,gulerle,NA
10172,Motacilla flava flavissima,NA,NA,NA,NA,NA,NA,NA,Engelse Kwikstaart,NA,NA,NA
10180,Motacilla citreola,Citrine Wagtail,Citrine Wagtail,Citrine Wagtail,Bergeronnette citrine,NA,Lavandera cetrina,NA,Citroenkwikstaart,NA,sitronerle,NA
10190,Motacilla cinerea,Grey Wagtail,Gray Wagtail,Grey Wagtail,Bergeronnette des ruisseaux,NA,Lavandera cascadeña,NA,Grote Gele Kwikstaart,NA,vintererle,NA
10200,Motacilla alba,White Wagtail,White Wagtail,Pied Wagtail/White Wagtail,Bergeronnette grise,NA,Lavandera blanca,NA,Witte Kwikstaart,NA,linerle,NA
10202,Motacilla alba yarrellii,NA,NA,NA,NA,NA,NA,NA,Rouwkwikstaart,NA,NA,NA
10480,Bombycilla garrulus,Bohemian Waxwing,Bohemian Waxwing,Bohemian Waxwing,Jaseur boréal,NA,Ampelis europeo,NA,Pestvogel,NA,sidensvans,NA
10500,Cinclus cinclus,White-throated Dipper,White-throated Dipper,White-throated Dipper,Cincle plongeur,NA,Mirlo acuático europeo,NA,Zwartbuikwaterspreeuw,Waterspreeuw,fossekall,NA
10660,Troglodytes troglodytes,Eurasian Wren,Eurasian Wren,Eurasian Wren,Troglodyte mignon,NA,Chochín paleártico,NA,Winterkoning,NA,gjerdesmett,NA
10840,Prunella modularis,Dunnock,Dunnock,Dunnock,Accenteur mouchet,NA,Acentor común,NA,Heggenmus,NA,jernspurv,NA
10990,Erithacus rubecula,European Robin,European Robin,European Robin,Rougegorge familier,NA,Petirrojo europeo,NA,Roodborst,NA,rødstrupe,NA
11030,Luscinia luscinia,Thrush Nightingale,Thrush Nightingale,Thrush Nightingale,Rossignol progné,NA,Ruiseñor ruso,NA,Noordse nachtegaal,NA,nattergal,NA
11040,Luscinia megarhynchos,Common Nightingale,Common Nightingale,Common Nightingale,Rossignol philomèle,NA,Ruiseñor común,NA,Nachtegaal,NA,sørnattergal,NA
11060,Luscinia svecica,Bluethroat,Bluethroat,Bluethroat,Gorgebleue à miroir,NA,Ruiseñor pechiazul,NA,Blauwborst,NA,blåstrupe,NA
11130,Tarsiger cyanurus,Red-flanked Bluetail,Red-flanked Bluetail,Red-flanked Bluetail,Robin à flancs roux,NA,Ruiseñor coliazul,NA,Blauwstaart ,NA,blåstjert,NA
11210,Phoenicurus ochruros,Black Redstart,Black Redstart,Black Redstart,Rougequeue noir,NA,Colirrojo tizón,NA,Zwarte Roodstaart,NA,svartrødstjert,NA
11220,Phoenicurus phoenicurus,Common Redstart,Common Redstart,Common Redstart,Rougequeue à front blanc,NA,Colirrojo real,NA,Gekraagde Roodstaart,NA,rødstjert,NA
11370,Saxicola rubetra,Whinchat,Whinchat,Whinchat,Tarier des prés,NA,Tarabilla norteña,NA,Paapje,NA,buskskvett,NA
11397,Saxicola rubicola,European Stonechat,European Stonechat,European Stonechat,Tarier pâtre,NA,Tarabilla europea,NA,Roodborsttapuit,NA,svartstrupe,NA
11460,Oenanthe oenanthe,Northern Wheatear,Northern Wheatear,Northern Wheatear,Traquet motteux,NA,Collalba gris,NA,Tapuit,NA,steinskvett,NA
11481,Oenanthe hispanica,Western Black-eared Wheatear,Western Black-eared Wheatear,Western Black-eared Wheatear,Traquet oreillard,NA,Collalba rubia occidental,NA,Westelijke Blonde Tapuit,NA,punersteinskvett,middelhavssteinskvett
11860,Turdus torquatus,Ring Ouzel,Ring Ouzel,Ring Ouzel,Merle à plastron,NA,Mirlo capiblanco,NA,Beflijster,NA,ringtrost,NA
11870,Turdus merula,Common Blackbird,Eurasian Blackbird,Eurasian Blackbird,Merle noir,NA,Mirlo común,NA,Merel,NA,svarttrost,NA
11980,Turdus pilaris,Fieldfare,Fieldfare,Fieldfare,Grive litorne,NA,Zorzal real,NA,Kramsvogel,NA,gråtrost,NA
12000,Turdus philomelos,Song Thrush,Song Thrush,Song Thrush,Grive musicienne,NA,Zorzal común,NA,Zanglijster,NA,måltrost,NA
12010,Turdus iliacus,Redwing,Redwing,Redwing,Grive mauvis,NA,Zorzal alirrojo,NA,Koperwiek,NA,rødvingetrost,NA
12020,Turdus viscivorus,Mistle Thrush,Mistle Thrush,Mistle Thrush,Grive draine,NA,Zorzal charlo,NA,Grote Lijster,NA,duetrost,NA
12200,Cettia cetti,Cetti's Warbler,Cetti's Warbler,Cetti's Warbler,Bouscarle de Cetti,NA,Cetia ruiseñor,NA,Cetti's Zanger,NA,cettisanger,NA
