EURING,Scientific_Name,English_ioc,Clements_Common_Name,English_birdnet,French_ioc,French_birdnet,Spanish_ioc,Spanish_birdnet,Dutch_ioc,Dutch_birdnet,Norwegian_ioc,Norwegian_birdnet
15570,Nucifraga caryocatactes,Northern Nutcracker,Northern Nutcracker,Spotted Nutcracker,Cassenoix moucheté,NA,Cascanueces norteño,Cascanueces Común,Notenkraker ,NA,nøttekråke,NA
15590,Pyrrhocorax pyrrhocorax,Red-billed Chough,Red-billed Chough,Red-billed Chough,Crave à bec rouge,NA,Chova piquirroja,NA,Alpenkraai ,NA,alpekråke,NA
15600,Coloeus monedula,Western Jackdaw,Eurasian Jackdaw,NA,Choucas des tours,NA,Grajilla occidental,NA,Kauw,NA,kaie,NA
15630,Corvus frugilegus,Rook,Rook,Rook,Corbeau freux,NA,Graja,NA,Roek,NA,kornkråke,NA
15671,Corvus corone,Carrion Crow,Carrion Crow,Carrion Crow,Corneille noire,NA,Corneja negra,NA,Zwarte Kraai,NA,svartkråke,NA
15673,Corvus cornix,Hooded Crow,Hooded Crow,Hooded Crow,Corneille mantelée,NA,Corneja Cenicienta,NA,Bonte Kraai,NA,kråke,NA
15720,Corvus corax,Northern Raven,Common Raven,Common Raven,Grand Corbeau,NA,Cuervo grande,NA,Raaf,NA,ravn,NA
15820,Sturnus vulgaris,Common Starling,European Starling,Common Starling,Étourneau sansonnet,NA,Estornino pinto,NA,Spreeuw,NA,stær,NA
15830,Sturnus unicolor,Spotless Starling,Spotless Starling,Spotless Starling,Étourneau unicolore,NA,Estornino negro,NA,Zwarte spreeuw,NA,middelhavsstær,NA
15910,Passer domesticus,House Sparrow,House Sparrow,House Sparrow,Moineau domestique,NA,Gorrión común,NA,Huismus,NA,gråspurv,NA
15980,Passer montanus,Eurasian Tree Sparrow,Eurasian Tree Sparrow,Eurasian Tree Sparrow,Moineau friquet,NA,Gorrión molinero,NA,Ringmus,NA,pilfink,NA
16040,Petronia petronia,Rock Sparrow,Rock Sparrow,Rock Sparrow,Moineau soulcie,NA,Gorrión chillón,NA,Rotsmus ,NA,steinspurv,NA
16360,Fringilla coelebs,Eurasian Chaffinch,Common Chaffinch,Common Chaffinch,Pinson des arbres,NA,Pinzón vulgar,NA,Vink,NA,bokfink,NA
16380,Fringilla montifringilla,Brambling,Brambling,Brambling,Pinson du Nord,NA,Pinzón real,NA,Keep,NA,bjørkefink,NA
16400,Serinus serinus,European Serin,European Serin,European Serin,Serin cini,NA,Serín verdecillo,NA,Europese Kanarie,NA,gulirisk,NA
16490,Chloris chloris,European Greenfinch,European Greenfinch,European Greenfinch,Verdier d’Europe,NA,Verderón común,NA,Groenling,NA,grønnfink,NA
16530,Carduelis carduelis,European Goldfinch,European Goldfinch,European Goldfinch,Chardonneret élégant,NA,Jilguero europeo,NA,Putter,NA,stillits,NA
16540,Spinus spinus,Eurasian Siskin,Eurasian Siskin,Eurasian Siskin,Tarin des aulnes,NA,Jilguero lúgano,NA,Sijs,NA,grønnsisik,NA
16600,Linaria cannabina,Common Linnet,Eurasian Linnet,Common Linnet,Linotte mélodieuse,NA,Pardillo común,NA,Kneu,NA,tornirisk,NA
16620,Linaria flavirostris,Twite,Twite,Twite,Linotte à bec jaune,NA,Pardillo piquigualdo,NA,Frater,NA,bergirisk,NA
16634,Acanthis flammea cabaret,NA,NA,NA,NA,NA,NA,NA,Kleine Barmsijs,NA,NA,NA
16635,Acanthis flammea,Redpoll,Redpoll,Common Redpoll,Sizerin flammé,NA,Pardillo norteño,NA,Barmsijs,Grote Barmsijs,gråsisik,NA
16650,Loxia leucoptera,Two-barred Crossbill,White-winged Crossbill,Two-barred Crossbill,Bec-croisé bifascié,NA,Piquituerto aliblanco,NA,Witbandkruisbek ,NA,båndkorsnebb,NA
16660,Loxia curvirostra,Red Crossbill,Red Crossbill,Common Crossbill,Bec-croisé des sapins,NA,Piquituerto común,NA,Kruisbek,NA,grankorsnebb,NA
16680,Loxia pytyopsittacus,Parrot Crossbill,Parrot Crossbill,Parrot Crossbill,Bec-croisé perroquet,NA,Piquituerto lorito,NA,Grote Kruisbek,NA,furukorsnebb,NA
16790,Carpodacus erythrinus,Common Rosefinch,Common Rosefinch,Common Rosefinch,Roselin cramoisi,NA,Camachuelo carminoso,NA,Roodmus,NA,rosenfink,NA
16990,Pinicola enucleator,Pine Grosbeak,Pine Grosbeak,Pine Grosbeak,Durbec des sapins,NA,Camachuelo picogrueso,NA,Haakbek,NA,konglebit,NA
17100,Pyrrhula pyrrhula,Eurasian Bullfinch,Eurasian Bullfinch,Eurasian Bullfinch,Bouvreuil pivoine,NA,Camachuelo común,NA,Goudvink,NA,dompap,NA
17170,Coccothraustes coccothraustes,Hawfinch,Hawfinch,Hawfinch,Gros-bec casse-noyaux,NA,Picogordo común,NA,Appelvink,NA,kjernebiter,NA
18470,Calcarius lapponicus,Lapland Longspur,Lapland Longspur,Lapland Bunting,Plectrophane lapon,NA,Escribano lapón,NA,Ijsgors,NA,lappspurv,NA
18500,Plectrophenax nivalis,Snow Bunting,Snow Bunting,Snow Bunting,Plectrophane des neiges,NA,Escribano nival,NA,Sneeuwgors,NA,snøspurv,NA
18570,Emberiza citrinella,Yellowhammer,Yellowhammer,Yellowhammer,Bruant jaune,NA,Escribano cerillo,NA,Geelgors,NA,gulspurv,NA
18580,Emberiza cirlus,Cirl Bunting,Cirl Bunting,Cirl Bunting,Bruant zizi,NA,Escribano soteño,NA,Cirlgors ,NA,hekkspurv,NA
18600,Emberiza cia,Rock Bunting,Rock Bunting,Rock Bunting,Bruant fou,NA,Escribano montesino,NA,Grijze gors,NA,klippespurv,NA
18660,Emberiza hortulana,Ortolan Bunting,Ortolan Bunting,Ortolan Bunting,Bruant ortolan,NA,Escribano hortelano,NA,Ortolaan,NA,hortulan,NA
18730,Emberiza rustica,Rustic Bunting,Rustic Bunting,Rustic Bunting,Bruant rustique,NA,Escribano rústico,NA,Bosgors ,NA,vierspurv,NA
18740,Emberiza pusilla,Little Bunting,Little Bunting,Little Bunting,Bruant nain,NA,Escribano pigmeo,NA,Dwerggors ,NA,dvergspurv,NA
18760,Emberiza aureola,Yellow-breasted Bunting,Yellow-breasted Bunting,Yellow-breasted Bunting,Bruant auréole,NA,Escribano aureolado,NA,Wilgengors ,NA,sibirspurv,NA
18770,Emberiza schoeniclus,Common Reed Bunting,Reed Bunting,Common Reed Bunting,Bruant des roseaux,NA,Escribano palustre,NA,Rietgors,NA,sivspurv,NA
18810,Emberiza melanocephala,Black-headed Bunting,Black-headed Bunting,Black-headed Bunting,Bruant mélanocéphale,NA,Escribano cabecinegro,NA,Zwartkopgors ,NA,svarthodespurv,NA
18820,Emberiza calandra,Corn Bunting,Corn Bunting,Corn Bunting,Bruant proyer,NA,Escribano triguero,NA,Grauwe Gors,NA,kornspurv,NA
36380,Larus argentatus,European Herring Gull,European Herring Gull,Herring Gull,Goéland argenté,NA,Gaviota argéntea europea,Gaviota Argéntea,Zilvermeeuw,NA,gråmåke,NA
